"# of Use","تعداد استفاده"
"%1$s incl tax.","%1$s با مالیات"
"%s - %s","%s - %s"
"%s Item(s)","%s آیتم"
"Reorganize EAV category structure to flat structure","دوباره سازمان دادن ساختار EAV رده به ساختار یکنواخت"
"Reorganize EAV product structure to flat structure","دوباره سازمان دادن ساختار EAV محصول به ساختار یکنواخت"
"Reset","بازنشانی"
"Results","نتایج"
"Retrieve attribute data","بازیابی دیتای ویژگی"
"Retrieve attribute list","بازیابی لیست ویژگی"
"Retrieve attribute options","بازیابی گزینه‌های ویژگی"
"Retrieve categories tree","بازیابی درخت رده‌ها"
"Retrieve category attributes","بازیابی ویژگی‌های رده"
"Retrieve category data","بازیابی داده‌ی رده"
"Retrieve hierarchical tree","بازیابی درخت مرتبه‌ای"
"Retrieve linked products","بازیابی محصولات لینک شده"
"Retrieve list of assigned products","بازیابی لیست محصولات اختصاص یافته"
"Retrieve one level of categories by website/store view/parent category","بازیابی یک سطح از رده‌ها توسط وب‌سایت/نمای فروشگاه/رده‌ی منشا"
"Retrieve product","بازیابی محصول"
"Retrieve product attribute sets","بازیابی مجموعه‌های ویژگی محصول"
"Retrieve product image","بازیابی تصویر محصول"
"Retrieve product image list","بازیابی لیست تصویر محصول"
"Retrieve product image types","بازیابی انواع تصویر محصول"
"Retrieve product link type attributes","بازیابی ویژگی‌های نوع لینک محصول"
"Retrieve product link types","بازیابی انواع لینک محصول"
"Retrieve product tier prices","بازیابی قیمت‌های ردیفی محصول"
"Retrieve product types","بازیابی انواع محصول"
"Retrieve products data","بازیابی داده‌ی محصولات"
"Retrieve products list by filters","بازیابی لیست محصولات توسط فیلترها"
"Reviews","نظرات"
"Roll Over for preview","برای پیش نمایش بر روی آن حرکت کنید"
"Root","ریشه"
"SKU","کد کالا"
"Save","ذخیره"
"Save Attribute","ذخیره‌ی ویژگی"
"Save Attribute Set","ذخیره‌ی مجموعه ویژگی"
"Save Category","ذخیره‌ی رده"
"Save Search","ذخیره‌ی جستجو"
"Save and Continue Edit","ذخیره و ادامه‌ی ویرایش"
"Saved %d record(s)","%d رکورد ذخیره شد"
"Scope","دامنه"
"Search","جستجو"
"Search Engine Optimizations","بهینه سازی‌های موتور جستجو"
"Search Information","اطلاعات جستجو"
"Search Query","جستار جستجو"
"Search Term with such search query already exists.","عبارت جستجو با چنین جستار جستجویی وجود دارد."
"Searchable","قابل جستجو"
"Select Category...","انتخاب رده..."
"Select Configurable Attributes ","انتخاب ویژگی‌های قابل پیکربندی "
"Select Product...","انتخاب محصول..."
"Select type of option","انتخاب نوع گزینه"
"Select type options required values rows.","گزینه‌های نوع خطوط مقادیر الزامی را انتخاب کنید."
"Selected Product Types","انواع محصول انتخاب شده"
"Selected configuration is not available.","پیکربندی انتخاب شده در دسترس نیست."
"Send Count","فرستادن شمارش"
"Set Ascending Direction","تنظیم جهت صعودی"
"Set Descending Direction","تنظیم جهت نزولی"
"Set Name","تنظیم نام"
"Set Root Category for Store","تنظیم رده‌ی ریشه برای فروشگاه"
"Set root category for this store in the <a href=""%s"">configuration</a>","رده‌ی ریشه را برای این فروشگاه در <a href=""%s"">پیکربندی </a> تنظیم کنید"
"Set special price","تنظیم قیمت ویژه"
"Set/Get current store view","تنظیم/دریافت نمای فروشگاه جاری"
"Settings","تنظیمات"
"Shop By","خرید توسط"
"Shopping Options","گزینه‌های خرید"
"Show","نمایش"
"Show Details","نمایش جزییات"
"Show Tags","نمایش برچسب‌ها"
"Simple Product","محصول ساده"
"Site Map","نقشه‌ی سایت"
"Sitemap","نقشه سایت"
"Skip import row, is not valid value ""%s"" for field ""%s""","پرش از ورود سطر، ""%s"" یک مقدار معتبر برای فیلد ""%s"" نیست"
"Skip import row, required field ""%s"" for the new customer is not defined.","پرش از ورود سطر، فیلد الزامی "" %s"" برای مشتری جدید تعریف نشده است."
"Skip import row, the value ""%s"" is invalid for field ""%s""","پرش از ورود سطر، مقدار ""%s"" برای فیلد ""%s"" نامعتبر است"
"Skipping import row, required field ""%s"" for new products is not defined.","درحال پرش از ورود سطر، فیلد الزامی "" %s"" برای محصولات جدید تعریف نشده است."
"Skipping import row, required field ""%s"" is not defined.","درحال پرش از ورود سطر، فیلد الزامی "" %s"" تعریف نشده است."
"Skipping import row, store ""%s"" field does not exist.","درحال پرش از ورود سطر، فیلد ""%s"" فروشگاه وجود ندارد."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","درحال پرش از ورود سطر، مقدار ""%s"" برای فیلد ""%s"" معتبر نیست."
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","برخی از محصولات زیر همه‌ی گزینه‌های لازم را ندارند. لطفا آن‌ها را بردارید و دوباره با همه‌ی گزینه‌های الزامی اضافه نمایید."
"Sort By","ترتیب با"
"Sort Order","ترتیب ردیف"
"Source Model","مدل منبع"
"Special Price:","قیمت ویژه:"
"Starting at:","شروع از:"
"Static","ایستا"
"Static block and products","بلاک ایستا و محصولات"
"Static block only","تنها بلاک ایستا"
"Status","وضعیت"
"Stock Availability","دسترسی موجودی"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Stretch","کشیدن"
"Subscribe to RSS Feed","اشتراک برای فید RSS"
"Super product attributes configuration","پیکربندی ویژگی‌های فوق محصول"
"Synonym For","مترادف برای"
"System Properties","مشخصات سیستم"
"Tag Name","نام برچسب"
"Tax","مالیات"
"Template","قالب"
"Text","متن"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","ماژول کاتالوگ یکنواخت یک محدودیت %2\$d برای ویژگی‌های قابل فیلتر و/یا قابل مرتب سازی دارد. درحال حاضر %1\$d از آن‌ها وجود دارند. لطفا برای استفاده از این ماژول تعداد ویژگی‌های قابل فیلتر/قابل مرتب سازی را کم نمایید."
"The attribute model is not defined","مدل ویژگی تعریف نشده است."
"The attribute set has been saved.","مجموعه ویژگی ذخیره شد."
"The base directory to upload image file is not specified.","دایرکتوری مبنا برای آپلود فایل تصویری مشخص نشده است."
"The category has been deleted.","رده حذف شد."
"The category has been saved.","رده ذخیره شد."
"The comparison list was cleared.","لیست مقایسه تمیز شده بود."
"The email template is not specified by administrator.","قالب ایمیل توسط مدیریت مشخص نشده است."
"The filters must be an array.","فیلترها باید هر آرایه‌ای باشند."
"The image contents is not valid base64 data.","محتویات تصویر داده‌ی base64 معتبر نیست."
"The image is not specified.","تصویر مشخص شده نیست."
"The product %s has been added to comparison list.","محصول %s به لیست مقایسه افزوده شد."
"The product %s has been removed from comparison list.","محصول %s از لیست مقایسه برداشته شد."
"The product attribute has been deleted.","ویژگی محصول حذف شد."
"The product attribute has been saved.","ویژگی محصول ذخیره شد."
"The product has been created.","محصول ایجاد شد."
"The product has been deleted.","محصول حذف شد."
"The product has been duplicated.","محصول تکثیر شد."
"The product has been saved.","محصول ذخیره شد."
"The product has required options","محصول گزینه‌های الزامی دارد"
"The review has been deleted","نظر حذف شد."
"The review has been saved.","نظر ذخیره شد."
"The review was removed by another user or does not exist.","نظر یا توسط کاربر دیگری برداشته شده بود یا وجود ندارد."
"The search was deleted.","جستجو حذف شده بود."
"The text is too long","متن خیلی طولانی است"
"There are no %s available.","هیچ %s در دسترسی وجود ندارد."
"There are no customers for this alert","هیچ مشتری برای این هشدار وجود ندارد"
"There are no customers for this alert.","هیچ مشتری برای این هشدار وجود ندارد."
"There are no products matching the selection.","هیچ محصولی مطابق با انتخاب وجود ندارد."
"This Attribute no longer exists","این ویژگی دیگر وجود ندارد"
"This attribute cannot be deleted.","این ویژگی را نمی‌توان حذف کرد."
"This attribute cannot be edited.","این ویژگی را نمی‌توان ویرایش کرد."
"This attribute cannot be updated.","این ویژگی را نمی‌توان به روز کرد."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","این ویژگی در محصولات قابل پیکربندی استفاده شده است. شما نمی‌توانید آن را از مجموعه ویژگی بردارید."
"This attribute no longer exists","این ویژگی دیگر وجود ندارد"
"This attribute set no longer exists.","این مجموعه ویژگی دیگر وجود ندارد."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","این گروه محتوی ویژگی‌هایی استفاده شده در محصولات قابل پیکربندی است. لطفا این ویژگی‌ها را به گروه دیگری منتقل نموده و دوباره سعی نمایید."
"This group contains system attributes. Please move system attributes to another group and try again.","این گروه محتوی ویژگی‌های سیستمی است. لطفا ویژگی‌های سیستمی را به گروه دیگری منتقل نموده و دوباره سعی نمایید."
"This is a required option","این یک گزینه‌ی الزامی است"
"This product no longer exists.","این محصول دیگر وجود ندارد."
"This search no longer exists.","این جستجو دیگر وجود ندارد."
"Tier Pricing","قیمت گذاری ردیفی"
"Tile","موزاییک"
"Time Format","ساختار زمان"
"Title","عنوان"
"To reindex the enabled product(s), the store or product must be specified.","برای فهرست دوباره‌ی محصول(ات) ممکن شده، باید فروشگاه یا محصول مشخص شده باشد."
"Top/Left","بالا/چپ"
"Top/Right","بالا/راست"
"Total Qty Base Items","مجموع تعداد آیتم‌های مبنا"
"Total incl. Tax: %1$s","مجموع با مالیات: %1$s"
"Total of %d record(s) have been deleted.","مجموع %d از رکوردها حذف شد(ند)."
"Total of %d record(s) have been updated.","مجموع %d از رکوردها به روز شد(ند)."
"Type","نوع"
"URL Rewrite Management","مدیریت بازنویسی URL"
"Unable to complete this request.","ناتوان در تکمیل این درخواست."
"Unable to find a search term to delete.","ناتوان در یافتن یک عبارت جستجو برای حذف."
"Unable to find an attribute to delete.","ناتوان در یافتن یک ویژگی برای حذف."
"Unable to get the product ID.","ناتوان در دریافت شناسه‌ی محصول."
"Unassigned Attributes","ویژگی‌های اختصاص نیافته"
"Unknown EAV indexer type ""%s"".","نوع فهرست نویس EAVی ناشناخته ""%s""."
"Unknown attribute: %s.","ویژگی ناشناخته: %s."
"Unsupported product type ""%s"".","نوع محصول پشتیبانی نشده ""%s""."
"Up-sells","پرفروش‌ها"
"Update","به روز رسانی"
"Update Attributes","به روز رسانی ویژگی‌ها"
"Update Tier Price","به روز رسانی قیمت ردیفی"
"Update assigned product","به روز رسانی محصول اختصاص یافته"
"Update attributes","به روز رسانی ویژگی‌ها"
"Update category","به روز رسانی رده"
"Update product","به روز رسانی محصول"
"Update product image","به روز رسانی تصویر محصول"
"Update product link","به روز رسانی لینک محصول"
"Update product tier prices","به روز رسانی قیمت‌های ردیفی محصول"
"Upload new product image ","آپلود تصویر محصول جدید "
"Url Rewrite Management","مدیریت بازنویسی URL"
"Use Canonical Link Meta Tag For Categories","استفاده از فوق برچسب لینک استاندارد برای رده‌ها"
"Use Canonical Link Meta Tag For Products","استفاده از فوق برچسب لینک استاندارد برای محصولات"
"Use Categories Path for Product URLs","استفاده از مسیر رده‌ها برای URLهای محصول"
"Use Config Settings","استفاده از تنظیمات پیکربندی"
"Use Default Value","استفاده از مقدار پیش فرض"
"Use Flat Catalog Category","استفاده از رده‌ی کاتالوگ یکنواخت"
"Use Flat Catalog Product","استفاده از محصول کاتالوگ یکنواخت"
"Use In Layered Navigation","استفاده در ناوبری لایه‌ای"
"Use In Search Results Layered Navigation","استفاده در نتایج جستجوی ناوبری لایه‌ای"
"Use JavaScript Calendar","استفاده از تقویم JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","استفاده از URLهای ایستا برای محتوای مدیا در WYSIWYG برای کاتالوگ"
"Use To Create Configurable Product","استفاده برای ایجاد محصول قابل پیکربندی"
"Use Tree Like Category Sitemap","استفاده از نقشه سایت رده‌ی درختی شکل"
"Use default","استفاده از پیش فرض"
"Use for Promo Rule Conditions","استفاده برای شرایط قانون تبلیغ"
"Use four-digit year format.","از ساختار سال چهار رقمی استفاده کن."
"Use in Advanced Search","استفاده در جستجوی پیشرفته"
"Use in Layered Navigation","استفاده در ناوبری لایه‌ای"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","استفاده در ناوبری لایه‌ای <br/>(می‌تواند تنها با نوع ورودی کاتالوگ ‘کشویی’ استفاده شود)"
"Use in Quick Search","استفاده در جستجوی سریع"
"Used for Sorting in Product Listing","استفاده شده برای مرتب سازی در لیست کردن محصولات"
"Used in Product Listing","استفاده شده در لیست کردن محصولات"
"Value for ""%s"" is invalid.","مقدار برای ""%s"" نامعتبر است."
"Value for ""%s"" is invalid: %s","مقدار برای ""%s"" نامعتبر است: %s"
"Varchar","کاراکتر متغییر"
"View as","مشاهده به عنوان"
"Virtual Product","محصول مجازی"
"Visibility","پدیداری"
"Visible","نمایان"
"Visible on Catalog Pages on Front-end","نمایان در صفحات کاتالوگ در فرانت‌اند"
"Visible on Product View Page on Front-end","نمایان در صفحه‌ی مشاهده‌ی محصول در فرانت‌اند"
"WYSIWYG Editor","ویرایشگر WYSIWYG"
"Watermark","واترمارک"
"Watermark Default Size","سایز پیش فرض واترمارک"
"Watermark Opacity, Percent","شفافیت واترمارک، درصد"
"Watermark Position","موقعیت واترمارک"
"We Also Recommend","ما همچنین پیشنهاد میکنیم"
"Website","وب‌سایت"
"Websites","وب‌سایت‌ها"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","چه برای نمایش گزینه‌ی ""همه"" در کشوی "" نمایش x بر صفحه""."
"Wrong BuyRequest instance in options group.","نمونه درخواست خرید اشتباه در گروه گزینه‌ها."
"Wrong option instance type in options group.","نوع نمونه گزینه‌ی اشتباه در گروه گزینه‌ها."
"Wrong option type to get group instance.","نوع گزینه‌ی اشتباه برای دریافت نمونه گروه."
"Wrong product instance type in options group.","نوع نمونه محصول اشتباه در گروه گزینه‌ها."
"Wrong product type filter specified","فیلتر نوع محصول اشتباه، مشخص شده"
"Wrong quote item instance in options group.","براورد نمونه آیتم اشتباه در گروه گزینه‌ها."
"Wrong quote item option instance in options group.","براورد نمونه گزینه‌ی آیتم اشتباه در گروه گزینه‌ها."
"Year Range","بازه‌ی سال"
"Yes","بلی"
"You cannot email this product to a friend.","شما نمی‌توانید این محصول را به دوستی ایمیل کنید."
"You cannot remove system attribute from this set.","شما نمی توانید ویژگی سیستمی را از این مجموعه بردارید."
"You cannot send more than %d emails at a time.","شما نمی‌توانید  در یک بار بیشتر از %d ایمیل بفرستید."
"You have exceeded limit of %d sends in an hour.","شما از محدودیت %d ارسال در یک ساعت تجاوز کردید."
"You have no items to compare.","شما آیتمی برای مقایسه ندارید."
"You have to specify at least one recipient.","شما باید دست کم یک گیرنده مشخص کنید."
"You may also be interested in the following product(s)","شما ممکن است به محصول(ات) زیر نیز علاقمند باشید"
"Zoom In","بزرگ نمایی"
"Zoom Out","کوچک نمایی"
"[GLOBAL]","[سراسری]"
"and","و"
"categories","رده‌ها"
"each","هر یک"
"ex. http://domain.com","مثال http://domain.com"
"leave blank if its not an image","اگر آن یک تصویر نیست خالی بگذارید"
"per page","تا بر صفحه"
"products","محصولات"
"px.","px."
"save","ذخیره"
"select all","انتخاب همه"
"unselect all","عدم انتخاب همه"
"x","x"
"'save'","پس انداز"
